item_id,hall,station,item_name,dietary_tags,meal_periods_served,calories
MRC-001,Marciano Commons,Hot Breakfast,Scrambled Eggs,"none,halal",breakfast,190
MRC-002,Marciano Commons,Hot Breakfast,Veggie Omelette,vegetarian,breakfast,220
MRC-003,Marciano Commons,Hot Breakfast,Turkey Sausage,halal,breakfast,160
MRC-004,Marciano Commons,Hot Breakfast,Oatmeal Bar,"vegetarian,vegan",breakfast,180
MRC-005,Marciano Commons,Bakery,Whole Wheat Toast,"vegetarian,vegan",breakfast,110
MRC-006,Marciano Commons,Bakery,Blueberry Muffin,vegetarian,breakfast,290
MRC-007,Marciano Commons,Grill,Grilled Chicken Wrap,halal,lunch,510
MRC-008,Marciano Commons,Grill,Beef Burger,none,lunch,620
MRC-009,Marciano Commons,Grill,Black Bean Burger,"vegetarian,vegan",lunch,420
MRC-010,Marciano Commons,Salad Bar,Mixed Greens Bowl,"vegetarian,vegan,gluten_free","lunch,dinner",120
MRC-011,Marciano Commons,International,Chicken Tikka Masala,"halal,gluten_free","lunch,dinner",480
MRC-012,Marciano Commons,International,Dal Tadka,"vegetarian,vegan,gluten_free","lunch,dinner",310
MRC-013,Marciano Commons,Pasta,Penne Arrabiata,"vegetarian,vegan","lunch,dinner",390
MRC-014,Marciano Commons,Pasta,Mac & Cheese,vegetarian,"lunch,dinner",520
MRC-015,Marciano Commons,Carving,Roast Chicken,"halal,gluten_free",dinner,430
MRC-016,Marciano Commons,Carving,Herb Roasted Salmon,gluten_free,dinner,380
MRC-017,Marciano Commons,Sides,Roasted Vegetables,"vegetarian,vegan,gluten_free",dinner,90
MRC-018,Marciano Commons,Dessert,Chocolate Cake,vegetarian,"lunch,dinner",350
WRN-001,Warren Towers Dining,Hot Breakfast,Pancakes,vegetarian,breakfast,310
WRN-002,Warren Towers Dining,Hot Breakfast,Halal Chicken Sausage,halal,breakfast,140
WRN-003,Warren Towers Dining,Hot Breakfast,Greek Yogurt Parfait,"vegetarian,gluten_free",breakfast,230
WRN-004,Warren Towers Dining,Cereal & Cold,Granola Bowl,"vegetarian,vegan",breakfast,260
WRN-005,Warren Towers Dining,Grill,Grilled Cheese,vegetarian,lunch,410
WRN-006,Warren Towers Dining,Grill,Halal Beef Patty Melt,halal,lunch,580
WRN-007,Warren Towers Dining,Vegan Station,Tofu Stir Fry,"vegetarian,vegan,gluten_free","lunch,dinner",330
WRN-008,Warren Towers Dining,Vegan Station,Lentil Soup,"vegetarian,vegan,gluten_free","lunch,dinner",210
WRN-009,Warren Towers Dining,Pizza,Cheese Pizza,vegetarian,"lunch,dinner",480
WRN-010,Warren Towers Dining,Pizza,Vegan Margherita,"vegetarian,vegan","lunch,dinner",390
WRN-011,Warren Towers Dining,Comfort,Chicken Tenders,none,"lunch,dinner",520
WRN-012,Warren Towers Dining,Comfort,Loaded Baked Potato,"vegetarian,gluten_free","lunch,dinner",370
WRN-013,Warren Towers Dining,Dessert,Ice Cream Bar,vegetarian,dinner,260
WST-001,West Campus Dining,Hot Breakfast,Eggs Benedict,none,breakfast,420
WST-002,West Campus Dining,Hot Breakfast,Veggie Frittata,"vegetarian,gluten_free",breakfast,280
WST-003,West Campus Dining,Hot Breakfast,Halal Turkey Bacon,halal,breakfast,130
WST-004,West Campus Dining,Bakery,Avocado Toast,"vegetarian,vegan",breakfast,310
WST-005,West Campus Dining,Global Bowl,Falafel Bowl,"vegetarian,vegan","lunch,dinner",460
WST-006,West Campus Dining,Global Bowl,Halal Shawarma Bowl,"halal,gluten_free","lunch,dinner",530
